Channel name,Gene name,Stoichiometry,Stoichiometry reference,Synonyms,Description,"Unitary current (pS), unprocessed with multiple values","Unitary current (pS), processed number value",Reference for conductance,PDB Structure Used for Area,Subunit Cross Section Area (angstrom²),Channel Cross Section Area (angstrom²),Ratio multimeric / subunit Areas,Maximal Conductance (S/cm²),Comments
Kv1.1,KCNA1,,,"Kv1.1, RBK1, HUK1, MBK1","potassium channel, voltage gated shaker related subfamily A, member 1",10,10,Gutman 2005,1EXB(RAT),9517,"30 651,00","3,22","3,262536296",conductance taken from supp. mat. of (3) . NOT IN OPM
Kv1.2,KCNA2,"tetrameric, heteromerized with other Kv1 α subunits",Al-Sabi 2013,"Kv1.2, HK4","potassium channel, voltage gated shaker related subfamily A, member 2",14,14,Carvacho 2008,3LUT (RAT),12868,"45 966,00","3,57","3,045729452",
Kv1.3,KCNA3,,,"Kv1.3, MK3, HLK3, HPCN3","potassium channel, voltage gated shaker related subfamily A, member 3",13,13,Gutman 2005,7EJ1(HUMAN),,"45 077,00",,"2,883954123", EM pdb
Kv1.4,KCNA4,,,"Kv1.4, HK1, HPCN2","potassium channel, voltage gated shaker related subfamily A, member 4",5,5,Gutman 2005,-,,,,,
Kv1.5,KCNA5,,,"Kv1.5, HK2, HPCN1","potassium channel, voltage gated shaker related subfamily A, member 5",10,10,Carvacho 2008,-,,,,,
Kv1.6,KCNA6,,,"Kv1.6, HBK2, PPP1R96","potassium channel, voltage gated shaker related subfamily A, member 6",9,9,Gutman 2005,-,,,,,
Kv1.7,KCNA7,,,"Kv1.7, HAK6","potassium channel, voltage gated shaker related subfamily A, member 7",21,21,Carvacho 2008,-,,,,,
Kv1.8,KCNA10,,,Kv1.8,"potassium channel, voltage gated shaker related subfamily A, member 10",12,12,Gutman 2005,-,,,,,
,KCNAB1,,,"AKR6A3, KCNA1B, hKvBeta3, Kvb1.3, hKvb3","potassium channel, voltage gated subfamily A regulatory beta subunit 1",--,,,,,,,,
,KCNAB2,,,"AKR6A5, KCNA2B, HKvbeta2.1, HKvbeta2.2","potassium channel, voltage gated subfamily A regulatory beta subunit 2",--,,,1ZSX (HUMAN),8638,"33 511,00","3,88",,NOT IN OPM
,KCNAB3,,,"AKR6A9, KCNA3B","potassium channel, voltage gated subfamily A regulatory beta subunit 3",--,,,,,,,,
Kv2.1,KCNB1,,,Kv2.1,"potassium channel, voltage gated Shab related subfamily B, member 1",8.0,8,Kirsch 1992,2R9R (RAT),21014,"43 438,00","2,07","1,841705419",PDB = Paddle Chimera (Kv1.2 - 2.1) WITH BETA SUBUNIT
Kv2.2,KCNB2,,,Kv2.2,"potassium channel, voltage gated Shab related subfamily B, member 2",15,15,Carvacho 2008,-,,,,,
Kv3.1,KCNC1,,,Kv3.1,"potassium channel, voltage gated Shaw related subfamily C, member 1",27.0,27,"De Biasi 1993, De Coursey 1984",-,,,,,
Kv3.2,KCNC2,,,Kv3.2,"potassium channel, voltage gated Shaw related subfamily C, member 2","16.0 - 20.0, rat",18,Rudy 1999,-,,,,,
Kv3.3,KCNC3,,,Kv3.3,"potassium channel, voltage gated Shaw related subfamily C, member 3",32 -38 pS,35,Fernandez 2003,-,,,,,
Kv3.4,KCNC4,,,"Kv3.4, HKSHIIIC","potassium channel, voltage gated Shaw related subfamily C, member 4","14.0, rat",14,"Rettig 1992, Schroter 1991",-,,,,,
Kv4.1,KCND1,,,Kv4.1,"potassium channel, voltage gated Shal related subfamily D, member 1",6.0,6,"An 2000, Jerng 1999, Shaidullah 2003",-,,,,,
